Row_ID,Household_ID,Vehicle,Calendar_Year,Model_Year,Blind_Make,Blind_Model,Blind_Submodel,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,Cat8,Cat9,Cat10,Cat11,Cat12,OrdCat,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,NVCat,NVVar1,NVVar2,NVVar3,NVVar4,Claim_Amount,veh_age
1,1,3,2005,2005,K,K.78,K.78.2,D,C,F,?,?,C,?,C,A,B,F,D,4,1.2705325,0.9994181,0.5881536,0.9083511,1.0089121,0.2610397,0.9077934,-0.077998,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,0
2,2,2,2005,2003,Q,Q.22,Q.22.3,B,C,A,A,A,E,C,A,B,A,B,D,5,0.2179505,0.5671395,1.4212056,0.4855086,1.2408507,0.4329871,-0.7264591,0.2047848,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,2
3,3,1,2005,1998,AR,AR.41,AR.41.1,B,?,A,A,A,C,C,A,B,A,E,D,2,-0.7542818,-1.6461267,-1.1010908,-1.6794449,-0.9714867,-1.4057974,-0.8370476,-1.1768577,F,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,7
4,3,1,2006,1998,AR,AR.41,AR.41.1,B,?,A,A,A,C,C,A,B,B,B,B,2,-0.7542818,-1.6461267,-1.1010908,-1.6794449,-0.9714867,-1.4057974,-0.8370476,-1.1768577,F,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,8
5,3,2,2005,2001,D,D.20,D.20.0,J,C,B,?,?,D,?,A,B,A,B,B,5,0.5634545,1.8639752,1.8145913,1.8386046,0.8126563,2.1126909,1.5344617,2.3472605,F,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,4
6,3,2,2006,2001,D,D.20,D.20.0,J,C,B,?,?,D,?,A,B,B,A,D,5,0.5634545,1.8639752,1.8145913,1.8386046,0.8126563,2.1126909,1.5344617,2.3472605,F,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,5
7,4,1,2006,2001,AJ,AJ.129,AJ.129.3,G,C,A,A,C,E,A,A,B,A,E,C,4,0.7000491,0.2213167,1.0509603,0.1472346,0.5807177,0.5511279,0.4162889,-0.024395,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,5
8,4,2,2006,2002,AQ,AQ.17,AQ.17.1,B,C,B,A,A,D,C,B,A,A,C,B,4,0.017076,0.2213167,0.3336099,0.2318031,0.5271934,-0.0231999,-0.7018839,0.2266635,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,4
9,4,3,2005,2002,AQ,AQ.17,AQ.17.1,B,C,B,A,A,D,C,B,A,B,B,C,4,0.017076,0.2213167,0.3336099,0.2318031,0.5271934,-0.0231999,-0.7018839,0.2266635,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0,3
10,5,1,2005,1995,BW,BW.3,BW.3.0,D,?,E,?,?,D,?,A,B,A,A,D,4,0.4429298,-0.5567847,1.0972409,-0.5293134,0.176312,0.2832642,0.9692315,-0.7923388,N,2.0546834,-0.2661168,-0.2723372,-0.2514189,0,10
