consec,tiempo,anio,timestre,periodo,clave,entidad,inpc_general,inpc_sub,inpc_ser,inpc_viv,inpc_edu,inpc_otros,itaee,itaee_des,itaee_log,itaeepc,itaeepc_des,itaee_logc,itaee_c,itaee_c1,itaee_c2,inpc_general_c1,desocup,desocup_des,salario,salario_log,uscpi,uscpi_log,usmexcpi,usmexcpi_log,usmextiponom,usmextiponom_0,indusmextipo,indusmextipo_0,mxfondeo,mxfondeo_0,usfondeo,usfondeo_0,tipcamnom,ied,ied_mxp,ied_mxp_log,usindpro,usindpro_log,mexindpro,mexindpro_log,mexindpro_e0,inpc12mes,inpc12mes_e0,inpcsub12mes,inpcsub12mes_e0,inpp_e,inpp_e0,inpp_pet,pib1mes_e,pibp12mes_e,pibp12mes_e0,incgb,incgb_0,poblacion,poblacion_0,m1,m1des,pea,pearel,peareal_log,fecanticon,fecanticon_0,tmortinf,tmortinf_0,tmortfet,tmortfet_0,rsid,rsid_0,noresid,noresid_0,carret_2c,carret_4c,carretera_0,isremp,isremp_0,gtosegpub,gtopgj,gtopgj_pc
1,1,2001,1,2001Q1,1,Aguascalientes,65.64821,69.06233,67.54404,79.41276,45.30773,66.40249,0,0,0,0,0,0,0,0,0,0,0,0,120.5871083668,2.0813008811,175.7,2.2447717615,1704.9752466667,3.2317180782,9.6939,0.9864985353,82.1097,1.9143944654,17.2779032258,1.2374910372,5.5933333333,0.7476707018,9.6939,17.07492,165.522566988,2.2188572129,90.8678,1.9584100135,99.658668322,1.9985150797,-0.1428,7.08776,7.08776,0,0,0,0,0,3.28,4.1642857143,4.1642857143,4.5,0.6532125138,965235.519960239,5.9846332952,517443571.333333,510335341.604976,357979,37.0872178445,1.5692242553,3,0.4771212547,100,2,11.251562717,0,88437,4.9466340018,31963,4.5046475348,2014,202,3.3455697561,35,1.5440680444,0,57280314,6.7733720948
2,2,2001,2,2001Q2,1,Aguascalientes,66.31881,69.79356,68.50644,80.63095,45.30773,67.45754,0,0,0,0,0,0,0,0,0,0,0,0,125.7847061802,2.0996278396,177.5333333333,2.2492799074,1627.4538311111,3.211508677,9.1835666667,0.963011383,77.7933,1.8909421947,13.21,1.1209028176,4.3266666667,0.6361534377,9.1835666667,10.508109,96.5019195421,1.9845359521,89.6315666667,1.9524609875,99.6335794404,1.9984057331,-2.5118181818,6.835,6.835,0,0,0,0,0,2.065,4.2516666667,4.2516666667,4.5,0.6532125138,970545.379379987,5.9870158463,519529535,524928822.215617,368399,37.9579366227,1.5793025963,3,0.4771212547,89,1.9493900066,5.0377833753,0,90802,4.9580954144,33824,4.5292249656,2014,202,3.3455697561,35,1.5440680444,0,57280314,6.7709895437
3,3,2001,3,2001Q3,1,Aguascalientes,66.97312,70.48859,69.3897,80.88054,48.46773,68.24118,0,0,0,0,0,0,0,0,0,0,0,0,126.6283832729,2.1025310621,177.7666666667,2.249850329,1641.7287144444,3.2153013942,9.2371333333,0.9655372125,77.5718,1.8897038691,9.314,0.9691362336,3.4966666667,0.5436542335,9.2371333333,5.076181,46.8893607211,1.6710743117,88.3735666667,1.946322383,100.0533309828,2.0002315518,-4.4884,5.7196296296,5.7196296296,0,0,0,0,0,0.2122260185,4.562962963,4.562962963,4.5,0.6532125138,975884.448880047,5.9893983974,553893965.666667,568278401.742695,379858,38.9244854179,1.5902228799,3,0.4771212547,91,1.9590413923,10.8948883103,0,93533,4.9709648642,34506,4.537894618,2014,202,3.3455697561,35,1.5440680444,0,57280314,6.7686069926
4,4,2001,4,2001Q4,1,Aguascalientes,68.06893,71.55091,70.64698,81.53449,54.4892,68.70479,0,0,0,0,0,0,0,0,0,0,0,0,131.8782199755,2.1201730766,177.2666666667,2.2486270783,1640.18875,3.2148938288,9.2415666667,0.9657456008,76.4004333333,1.8830958218,7.9580952381,0.9008091322,2.1333333333,0.3290587193,9.2415666667,71.092776,657.0086289224,2.8175710735,87.3656666667,1.9413407953,99.6145096678,1.9983226016,-3.0605,4.9204545455,4.9204545455,0,0,0,0,0,-0.2603728213,4.6146428571,4.6146428571,4.5,0.6532125138,981252.88914806,5.9917809485,622911175.333333,609575172.612646,379945,38.7203955476,1.5879397852,3,0.4771212547,102,2.0086001718,9.2729970326,0,96427,4.9841986554,36009,4.5564110608,2014,202,3.3455697561,35,1.5440680444,0,57280314,6.7662244416
5,5,2002,1,2002Q1,1,Aguascalientes,68.54734,72.15461,71.67124,82.51351,54.65622,70.03101,0,0,0,0,0,0,0,0,0,4.4161600141,0,0,136.2713245799,2.1344044774,177.9,2.2501759481,1622.3416577778,3.21014232,9.1107,0.9595517463,74.6084,1.8727877265,7.6210169492,0.8820129275,1.7333333333,0.2388820889,9.1107,-30.688611,-279.5947282377,-2.4465289785,87.9532333333,1.9442518096,98.5571456145,1.9936881171,-3,4.4411071429,4.4411071429,0,0,0,0,0,1.5681176292,4.68,4.68,4.5,0.6532125138,986650.861755629,5.9941634995,634818137.333333,626431545.427904,383116,38.8299463215,1.5891667902,3,0.4771212547,95,1.9777236053,5.7074196455,0.7564398058,97907,4.9908137434,36219,4.5589364554,2040,190,3.348304863,35,1.5440680444,0,63366666,6.807697358
6,6,2002,2,2002Q2,1,Aguascalientes,69.61973,73.03607,72.74138,83.74157,54.73973,71.28055,0,0,0,0,0,0,0,0,0,4.9773510713,0,0,138.3230733227,2.1408946297,179.8333333333,2.2548701943,1701.4576622222,3.2308211469,9.4824333333,0.9769197981,77.2923,1.8881362309,6.57265625,0.8177409193,1.75,0.2430380487,9.4824333333,9.07941,86.094900031,1.9349774261,89.3405666667,1.9510487028,99.3248500435,1.997057918,1.6265217391,4.1455,4.1455,0,0,0,0,0,1.5996939156,4.4566666667,4.4566666667,4.5,0.6532125138,992078.529163176,5.9965460506,639033758,645495263.78048,388261,39.1361155984,1.5925777182,3,0.4771212547,104,2.0170333393,5.3609721229,0.7292435489,101064,5.0045964831,36559,4.5629943079,2040,190,3.348304863,35,1.5440680444,0,63366666,6.805314807
7,7,2002,3,2002Q3,1,Aguascalientes,70.61495,73.97862,74.09103,84.70321,57.54471,72.41337,0,0,0,0,0,0,0,0,0,5.4377487565,0,0,140.585447518,2.1479403677,180.6,2.256717746,1785.6223966667,3.2517896246,9.8972666667,0.9955152718,80.2836333333,1.9046270188,6.8509230769,0.8357490912,1.74,0.2405492483,9.8972666667,10.47988745,103.7222407293,2.0158718903,89.8702,1.9536157082,99.4576937522,1.9976383845,2.1026315789,4.0492068966,4.0492068966,0,0,0,0,0,1.5829632662,2.8531034483,2.8531034483,4.5,0.6532125138,997536.054724838,5.9989286017,650919067.666667,667355429.41801,384523,38.5472783844,1.5859937203,3,0.4771212547,93,1.9684829486,2.414001207,0.3827374829,103549,5.0151459092,36990,4.5680843313,2040,190,3.348304863,35,1.5440680444,0,63366666,6.8029322559
8,8,2002,4,2002Q4,1,Aguascalientes,71.58237,74.74037,75.71591,85.77686,62.68834,73.28575,0,0,0,0,0,0,0,0,0,5.1615913457,0,0,142.4049857689,2.1535251947,181.1666666667,2.2580782937,1846.1212,3.2662602096,10.1724666667,1.0074262754,81.4561333333,1.9109237906,7.53,0.8767949762,1.4433333333,0.1593666416,10.1724666667,21.7218362,220.9646546833,2.3443228099,89.8363333333,1.9534520179,99.4998873803,1.9978225892,1.6776,4.2075,4.2075,0,0,0,0,0,1.1419366875,1.4190482125,1.4190482125,4.5,0.6532125138,1003023.60269338,6.0013111528,699523157.333333,684882796.468669,386261,38.509662082,1.5855697078,3,0.4771212547,141,2.1492191127,8.0025608195,0.9032289835,108101,5.0338297115,37631,4.5755457593,2040,190,3.348304863,35,1.5440680444,0,63366666,6.8005497048
9,9,2003,1,2003Q1,1,Aguascalientes,71.69377,74.76221,76.23593,86.19238,62.68834,74.03791,96.588017221,99.5539587105,1.9849232509,0.00009577,9.86019E-05,0.7594779124,1.764142896,0,0,4.5901562336,0,0,143.2540520313,2.1561069151,183,2.2624510897,1984.7791366667,3.2977121861,10.8233,1.0343596964,86.3369666667,1.9361967862,8.8075409836,0.9448546727,1.25,0.096910013,10.8233,11.748699,127.1596938867,2.1043494738,90.5189333333,1.9567394276,100.7079990645,2.0030639672,3.3568,4.2709310345,4.2709310345,0,0,0,0,0,2.5413333333,3.9967857143,3.9967857143,3.9,0.591064607,1008541.33822513,6.0036937038,714088203.333333,705405013.275604,383183,37.9937822553,1.5797125294,3,0.4771212547,92,1.9637878273,6.2913808083,0.7987459732,111381,5.0468111128,38211,4.5821884035,2084,218,3.3621053193,34,1.531478917,0,57131000,6.753178122
10,10,2003,2,2003Q2,1,Aguascalientes,71.82963,74.97816,76.95944,86.73539,62.68834,75.10726,99.8225997781,100.316207185,1.9992288764,9.84357E-05,9.88826E-05,0.9318240863,2.1687878509,0,0,3.174243853,0,0,146.6770706845,2.166362228,183.6666666667,2.2640303441,1912.69884,3.2816465945,10.4492,1.0190830417,83.4035666667,1.9211846232,6.0111290323,0.7789560504,1.2466666667,0.0957503475,10.4492,12.887285,134.661818422,2.1292444747,89.7641666667,1.9531030034,99.8422664408,1.999314431,0.2070833333,4.3070322581,4.3070322581,0,0,0,0,0,2.1563870968,4.0033333333,4.0033333333,3.9,0.591064607,1014089.42738496,6.0060762549,714356163.82,720949256.717921,393782,38.8310921469,1.5891796055,2.9,0.4623979979,83,1.9190780924,11.2043271884,1.0493857826,116754,5.0672717685,38875,4.589670402,2084,218,3.3621053193,34,1.531478917,0,57131000,6.750795571
