"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",3.6934613366,1,0,0,1,2.0497131012,5.7864110681,3.9675602307,2.4702106256,4.3335588705,2.6185818848,1.9822059332,3.7396774194,6.2662550162
"2007Q1",-2.9008795388,1,0,0,0,2.0404828554,9.4921943742,5.7864110681,3.1778202846,5.2577459538,3.0680199936,1.9862640145,3.635483871,6.2884650294
"2007Q2",1.8799193056,1,1,0,0,2.0606717066,9.02889336,9.4921943742,2.4513915945,5.3536135126,2.8162314149,1.9890164937,3.5044117647,6.2859321677
"2007Q3",5.6324862351,1,0,1,0,2.0524726205,4.0370211304,9.02889336,3.3583391453,5.4422487733,2.8749522636,1.9905856842,3.4184848485,6.283399306
"2007Q4",1.8354915012,1,0,0,1,2.0654644729,3.6934613366,4.0370211304,4.0556797474,5.3832296745,3.0539548122,1.9912381885,3.4645454545,6.2808664443
"2008Q1",7.2132961572,1,0,0,0,2.0276981514,-2.9008795388,3.6934613366,4.3469514747,6.0004901984,2.5555231791,1.9952639116,3.3674193548,6.3035952992
"2008Q2",-0.2774104995,1,1,0,0,2.0687602989,1.8799193056,-2.9008795388,3.4840439863,5.6144331572,2.7878926794,2.0004022599,3.4309090909,6.3010624375
"2008Q3",0.0211051143,1,0,1,0,2.0762701222,5.6324862351,1.8799193056,3.9889355995,5.09594745,2.7784467813,2.0016301734,3.508125,6.2985295758
"2008Q4",0.024245967,1,0,0,1,2.0733636367,1.8354915012,5.6324862351,4.6888305803,4.7456574593,-2.4511595753,2.0026664724,3.4925806452,6.2959967141
"2009Q1",-16.8319047479,1,0,0,0,2.0579467995,7.2132961572,1.8354915012,3.7267373702,5.0180386922,2.8559277868,2.0011658174,3.7710322581,6.3176416666
"2009Q2",-19.119967341,1,1,0,0,2.0675538462,-0.2774104995,7.2132961572,5.1144682084,5.2381745843,3.1558924787,1.9949860463,3.6216129032,6.3151088049
"2009Q3",-14.1845078682,1,0,1,0,2.0763617709,0.0211051143,-0.2774104995,5.5487891103,5.2104346604,3.5932760101,1.9809775837,3.3943333333,6.3125759432
"2009Q4",-4.971127783,1,0,0,1,2.0734689228,0.024245967,0.0211051143,5.8969673971,5.9105971995,3.8601458957,1.9621678495,3.3303225806,6.3100430815
"2010Q1",16.1726526216,1,0,0,0,1.9779035547,-16.8319047479,0.024245967,5.9873700635,7.8724892475,2.8010144623,1.9381628367,3.3909705882,6.333111962
"2010Q2",20.013405335,1,1,0,0,1.9753951641,-19.119967341,-16.8319047479,5.6950758844,7.8808339627,2.8148029531,1.9255821091,3.2456,6.3305791003
"2010Q3",11.3135287492,1,0,1,0,2.0099274683,-14.1845078682,-19.119967341,4.8603226272,9.2619606076,-1.4383999836,1.9307898116,2.51125,6.3280462386
"2010Q4",5.1502477159,1,0,0,1,2.051324498,-4.971127783,-14.1845078682,3.5564154655,8.3649415794,2.691022518,1.9376952178,-0.11,6.3255133769
"2011Q1",7.0340453752,1,0,0,0,2.0430074606,16.1726526216,-4.971127783,4.3087429414,7.6320286806,1.8523769336,1.9465121974,1.6203225806,6.4742990072
"2011Q2",5.4604190107,1,1,0,0,2.054624923,20.013405335,16.1726526216,3.4126979852,7.9276418447,2.8453048156,1.9555549889,2.0466666667,6.4717661455
"2011Q3",6.0730998146,1,0,1,0,2.0564754189,11.3135287492,20.013405335,3.33739812,7.6430352274,-1.0779461411,1.9621133564,2.8206896552,6.4692332838
